timestamp,joint,angle
2025-06-15T19:45:11.260069,LEFT_ELBOW,315.37611568826446
2025-06-15T19:45:11.260069,RIGHT_ELBOW,356.8201698801358
2025-06-15T19:45:11.260069,LEFT_KNEE,138.35188900059214
2025-06-15T19:45:11.260069,RIGHT_KNEE,126.70872850830894
2025-06-15T19:45:11.329918,LEFT_ELBOW,257.6609127216738
2025-06-15T19:45:11.329918,RIGHT_ELBOW,290.3361852875364
2025-06-15T19:45:11.329918,LEFT_KNEE,113.14909093243148
2025-06-15T19:45:11.329918,RIGHT_KNEE,124.44391585905058
2025-06-15T19:45:11.650521,LEFT_ELBOW,125.19915035414941
2025-06-15T19:45:11.650521,RIGHT_ELBOW,103.2631229139705
2025-06-15T19:45:11.650521,LEFT_KNEE,212.53904171274948
2025-06-15T19:45:11.650521,RIGHT_KNEE,209.45962461403525
2025-06-15T19:45:11.677778,LEFT_ELBOW,118.88310501094217
2025-06-15T19:45:11.677778,RIGHT_ELBOW,103.71593496968144
2025-06-15T19:45:11.677778,LEFT_KNEE,231.00376053230428
2025-06-15T19:45:11.677778,RIGHT_KNEE,207.00146325584316
2025-06-15T19:45:11.701883,LEFT_ELBOW,120.33723470684325
2025-06-15T19:45:11.701883,RIGHT_ELBOW,103.71593496968144
2025-06-15T19:45:11.701883,LEFT_KNEE,219.76588687710066
2025-06-15T19:45:11.701883,RIGHT_KNEE,198.2381798260861
2025-06-15T19:45:11.733704,LEFT_ELBOW,119.86319417076241
2025-06-15T19:45:11.733704,RIGHT_ELBOW,104.31216610980843
2025-06-15T19:45:11.733704,LEFT_KNEE,208.0515878785021
2025-06-15T19:45:11.733704,RIGHT_KNEE,195.35003155855867
2025-06-15T19:45:11.767525,LEFT_ELBOW,124.87201778936735
2025-06-15T19:45:11.767525,RIGHT_ELBOW,105.9994339415685
2025-06-15T19:45:11.767525,LEFT_KNEE,200.10236578201435
2025-06-15T19:45:11.767525,RIGHT_KNEE,198.41364003588745
2025-06-15T19:45:11.797862,LEFT_ELBOW,119.460418524334
2025-06-15T19:45:11.797862,RIGHT_ELBOW,108.28436893435625
2025-06-15T19:45:11.797862,LEFT_KNEE,190.44824217391928
2025-06-15T19:45:11.797862,RIGHT_KNEE,189.6849708270597
2025-06-15T19:45:11.830784,LEFT_ELBOW,117.57434389516997
2025-06-15T19:45:11.830784,RIGHT_ELBOW,111.80648305222122
2025-06-15T19:45:11.830784,LEFT_KNEE,202.10724516229914
2025-06-15T19:45:11.830784,RIGHT_KNEE,187.8798709218437
2025-06-15T19:45:11.863767,LEFT_ELBOW,116.33858682473681
2025-06-15T19:45:11.863767,RIGHT_ELBOW,115.55701831282764
2025-06-15T19:45:11.863767,LEFT_KNEE,195.21371845124986
2025-06-15T19:45:11.863767,RIGHT_KNEE,186.7180388873835
2025-06-15T19:45:11.893525,LEFT_ELBOW,120.05168307419217
2025-06-15T19:45:11.893525,RIGHT_ELBOW,121.62976291319741
2025-06-15T19:45:11.893525,LEFT_KNEE,190.72864342395897
2025-06-15T19:45:11.893525,RIGHT_KNEE,186.83356698578206
2025-06-15T19:45:11.926616,LEFT_ELBOW,120.21174685561238
2025-06-15T19:45:11.926616,RIGHT_ELBOW,125.10711383021057
2025-06-15T19:45:11.926616,LEFT_KNEE,199.4800179197411
2025-06-15T19:45:11.926616,RIGHT_KNEE,195.94983067318725
2025-06-15T19:45:11.959815,LEFT_ELBOW,107.8846327520067
